,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,first_review,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month
64,488117,2011-04-06,within an hour,1.0,0.98,t,9.0,t,t,el Raval,Ciutat Vella,Entire home/apt,9,1.0,3.0,8.0,337.0,6,1000,t,1,2012-11-02,4.7,t,6,0.18
65,3775349,2012-10-06,within a day,0.58,0.88,f,86.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,6,2.0,3.0,6.0,543.0,2,60,t,8,2012-03-26,4.64,t,45,1.94
66,3556337,2012-09-13,within an hour,1.0,0.99,f,49.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,3,1.0,1.0,2.0,196.0,1,365,t,1,2011-11-10,4.78,t,46,2.35
68,1968590,2012-03-19,within an hour,1.0,1.0,f,14.0,t,t,el Raval,Ciutat Vella,Entire home/apt,4,1.0,2.0,4.0,133.0,3,31,t,2,2012-06-14,4.44,t,1,2.91
69,1110014,2011-09-04,a few days or more,0.0,0.0,f,1.0,t,t,el Poble Sec,Sants-Montjuic,Private room,1,1.0,1.0,1.0,22.0,31,90,t,16,2012-06-13,4.66,f,1,1.13
70,874133,2011-07-26,within a few hours,1.0,0.78,t,1.0,t,t,Sants,Sants-Montjuic,Entire home/apt,4,2.0,2.0,2.0,88.0,31,96,t,3,2011-12-27,4.82,f,1,0.41
72,1227290,2011-09-29,within an hour,1.0,1.0,f,1.0,t,t,el Fort Pienc,Eixample,Entire home/apt,3,1.0,1.0,2.0,225.0,14,130,t,4,2016-07-08,4.64,f,1,0.96
73,1995385,2012-03-23,within an hour,1.0,0.99,t,7.0,t,t,la Nova Esquerra de l'Eixample,Eixample,Entire home/apt,2,1.0,2.0,2.0,170.0,2,8,t,6,2012-04-12,4.86,f,3,0.82
74,1447144,2011-11-27,within an hour,0.84,0.12,f,343.0,t,t,el Barri Gotic,Ciutat Vella,Entire home/apt,5,1.0,2.0,5.0,237.0,2,365,t,30,2012-04-25,4.29,f,159,0.08
75,396363,2011-02-17,within an hour,1.0,0.92,f,148.0,t,t,el Camp d'en Grassot i Gracia Nova,Gracia,Entire home/apt,4,1.0,1.0,2.0,159.0,2,1125,t,24,2012-07-16,4.12,f,111,0.31
76,2034854,2012-03-30,within a few hours,1.0,0.63,f,1.0,t,t,el Poble Sec,Sants-Montjuic,Entire home/apt,7,2.0,3.0,3.0,190.0,1,365,t,4,2012-04-12,4.65,f,1,3.69
77,567180,2011-05-08,within a few hours,0.88,0.98,f,19.0,t,f,la Sagrada Familia,Eixample,Entire home/apt,8,2.0,4.0,7.0,348.0,2,30,f,0,2014-07-02,4.35,f,19,0.78
78,1257705,2011-10-06,within an hour,1.0,1.0,f,12.0,t,t,Sant Gervasi - Galvany,Sarria-Sant Gervasi,Entire home/apt,8,1.0,3.0,6.0,200.0,2,90,t,6,2015-02-20,4.15,t,5,0.47
79,567180,2011-05-08,within a few hours,0.88,0.98,f,19.0,t,f,la Sagrada Familia,Eixample,Entire home/apt,8,2.0,3.0,6.0,419.0,2,32,f,0,2011-06-21,4.38,f,19,0.77
80,1447144,2011-11-27,within an hour,0.84,0.12,f,343.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,6,1.0,2.0,5.0,160.0,1,1125,t,30,2012-07-15,4.5,f,159,0.05
81,2074943,2012-04-05,within an hour,1.0,0.67,f,1.0,t,t,la Vila de Gracia,Gracia,Entire home/apt,4,1.5,2.0,2.0,123.0,31,1125,t,6,2013-06-03,4.73,f,1,0.86
82,488117,2011-04-06,within an hour,1.0,0.98,t,9.0,t,t,el Raval,Ciutat Vella,Entire home/apt,6,1.0,2.0,6.0,237.0,6,600,t,8,2013-04-04,4.68,t,6,0.53
83,1184485,2011-09-20,within an hour,1.0,0.78,t,1.0,t,t,el Barri Gotic,Ciutat Vella,Entire home/apt,4,1.5,2.0,2.0,99.0,32,364,t,6,2011-12-22,4.82,f,1,0.2
84,488117,2011-04-06,within an hour,1.0,0.98,t,9.0,t,t,el Raval,Ciutat Vella,Entire home/apt,5,1.0,2.0,3.0,167.0,6,60,t,5,2013-06-18,4.86,t,6,0.28
85,2108468,2012-04-10,within an hour,1.0,0.98,t,14.0,t,t,el Barri Gotic,Ciutat Vella,Entire home/apt,5,2.0,2.0,3.0,259.0,1,365,t,5,2013-02-24,4.69,f,8,1.21
86,1447144,2011-11-27,within an hour,0.84,0.12,f,343.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,4,1.0,1.0,2.0,233.0,2,1125,t,30,2012-06-25,5.0,f,159,0.02
87,2116153,2012-04-11,within a day,1.0,0.91,t,1.0,t,t,el Putxet i el Farro,Sarria-Sant Gervasi,Entire home/apt,8,3.5,4.0,5.0,536.0,2,1125,t,0,2014-06-19,4.81,f,1,0.84
88,1093718,2011-08-31,within an hour,1.0,0.99,f,15.0,t,t,el Fort Pienc,Eixample,Entire home/apt,6,2.0,3.0,4.0,180.0,2,365,t,3,2012-08-08,4.67,f,13,0.61
89,1093718,2011-08-31,within an hour,1.0,0.99,f,15.0,t,t,el Fort Pienc,Eixample,Entire home/apt,8,2.0,4.0,6.0,275.0,2,360,t,3,2012-07-10,4.68,f,13,1.07
90,898600,2011-07-31,within an hour,1.0,0.91,t,3.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,4,1.5,2.0,4.0,239.0,1,1125,t,1,2012-06-27,4.82,f,2,2.71
91,297885449,2019-09-25,within a day,0.96,0.8,f,47.0,t,t,la Barceloneta,Ciutat Vella,Entire home/apt,4,1.0,3.0,4.0,82.0,60,1125,t,0,2012-07-10,4.33,f,25,0.04
92,2556699,2012-06-05,within an hour,1.0,1.0,t,3.0,t,t,la Vila Olimpica del Poblenou,Sant Marti,Entire home/apt,5,1.5,2.0,4.0,311.0,2,365,t,0,2012-06-22,4.77,t,1,0.29
93,1298586,2011-10-16,within an hour,0.98,0.92,t,132.0,t,t,Sant Marti de Provencals,Sant Marti,Entire home/apt,6,1.0,3.0,3.0,197.0,2,400,t,11,2012-03-02,4.51,f,7,0.94
95,1310304,2011-10-19,within a day,0.95,0.52,f,144.0,t,t,el Raval,Ciutat Vella,Entire home/apt,4,1.0,1.0,2.0,38.0,32,330,t,0,2012-03-02,4.45,f,42,0.18
96,2004002,2012-03-25,within an hour,1.0,1.0,t,5.0,t,t,la Dreta de l'Eixample,Eixample,Private room,2,1.0,1.0,1.0,37.0,31,90,t,3,2012-05-21,4.79,t,2,2.03
98,893805,2011-07-30,within a few hours,0.99,0.95,t,23.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,8,2.0,4.0,5.0,331.0,2,60,t,2,2013-06-26,4.79,f,13,4.4
99,1348378,2011-10-29,within an hour,1.0,1.0,t,3.0,t,t,Vallcarca i els Penitents,Gracia,Private room,1,1.0,1.0,1.0,28.0,31,1125,t,0,2012-04-01,4.84,f,2,0.5
100,1432835,2011-11-22,within an hour,0.99,0.99,f,41.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,5,2.0,3.0,4.0,200.0,3,1125,t,3,2012-07-23,4.58,f,38,2.2
101,2181314,2012-04-20,within a few hours,1.0,0.99,f,6.0,t,t,la Vila de Gracia,Gracia,Entire home/apt,6,2.0,2.0,3.0,140.0,2,30,t,4,2012-06-19,4.63,f,1,2.48
102,2570705,2012-06-07,within an hour,1.0,0.92,t,1.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,4,1.0,2.0,2.0,164.0,4,160,t,4,2013-09-07,4.78,f,1,1.36
