,host_id,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,has_availability,availability_30,first_review,review_scores_rating,instant_bookable,calculated_host_listings_count,reviews_per_month
4092,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,2,1.0,1.0,1.0,174.0,1,1125,t,3,2017-10-30,4.66,t,36,4.48
4093,2359029,2012-05-13,within an hour,1.0,1.0,f,4.0,t,t,la Vila de Gracia,Gracia,Private room,2,1.0,1.0,1.0,68.0,2,30,t,3,2017-07-05,4.49,f,1,0.65
4094,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,2,1.0,1.0,1.0,231.0,1,1125,t,0,2017-11-27,4.7,t,36,4.82
4096,6600521,2013-05-27,within an hour,1.0,0.97,f,5.0,t,t,la Vila de Gracia,Gracia,Entire home/apt,4,2.0,2.0,3.0,264.0,5,330,t,5,2017-09-15,4.72,f,3,1.29
4097,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,el Carmel,Horta-Guinardo,Entire home/apt,7,2.0,3.0,7.0,101.0,3,45,t,16,2018-01-08,4.24,f,184,1.15
4098,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,Sant Gervasi - Galvany,Sarria-Sant Gervasi,Entire home/apt,4,1.0,1.0,2.0,201.0,1,1125,t,3,2018-06-27,4.85,t,36,1.04
4099,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,Sant Gervasi - Galvany,Sarria-Sant Gervasi,Entire home/apt,4,1.0,1.0,2.0,183.0,1,1125,t,4,2018-06-12,4.86,t,36,1.0
4100,138321551,2017-07-03,within an hour,1.0,1.0,t,3.0,t,t,el Besos i el Maresme,Sant Marti,Private room,1,2.0,1.0,1.0,16.0,32,1125,t,0,2018-04-02,4.93,f,3,0.21
4103,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,Sant Gervasi - Galvany,Sarria-Sant Gervasi,Entire home/apt,5,2.0,2.0,3.0,258.0,1,1125,t,3,2018-06-05,4.85,t,36,2.48
4105,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,el Carmel,Horta-Guinardo,Entire home/apt,7,2.0,3.0,7.0,96.0,3,45,t,11,2017-08-13,4.27,f,184,0.95
4106,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,el Carmel,Horta-Guinardo,Entire home/apt,4,1.0,1.0,3.0,68.0,3,45,t,5,2018-01-02,4.12,f,184,0.84
4108,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,el Carmel,Horta-Guinardo,Entire home/apt,7,2.0,3.0,7.0,96.0,3,45,t,14,2017-08-27,4.22,f,184,0.86
4109,39370811,2015-07-23,within a day,1.0,1.0,f,2.0,t,t,la Bordeta,Sants-Montjuic,Private room,2,1.0,1.0,1.0,29.0,3,1125,t,0,2017-07-11,5.0,t,2,0.09
4111,2439400,2012-05-22,within an hour,0.82,0.93,f,96.0,t,t,el Poblenou,Sant Marti,Entire home/apt,4,2.0,3.0,3.0,55.0,31,330,t,0,2019-08-10,5.0,f,45,0.02
4112,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,el Carmel,Horta-Guinardo,Entire home/apt,7,2.0,3.0,7.0,100.0,3,45,t,7,2017-11-17,4.24,f,184,1.1
4114,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,el Carmel,Horta-Guinardo,Entire home/apt,4,1.0,1.0,3.0,71.0,3,45,t,2,2017-10-05,4.42,f,184,1.35
4116,140007238,2017-07-12,within an hour,1.0,1.0,f,5.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,5,3.0,2.0,2.0,255.0,3,1125,t,8,2017-08-03,4.57,t,5,1.55
4117,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,el Carmel,Horta-Guinardo,Entire home/apt,7,2.0,3.0,7.0,97.0,3,45,t,13,2018-01-05,4.44,f,184,1.2
4118,14120404,2014-04-10,within an hour,1.0,0.99,t,10.0,t,t,el Parc i la Llacuna del Poblenou,Sant Marti,Entire home/apt,2,1.0,1.0,2.0,151.0,2,30,t,6,2017-08-09,4.78,f,7,2.34
4119,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,el Carmel,Horta-Guinardo,Entire home/apt,4,1.0,1.0,2.0,82.0,3,45,t,14,2017-12-27,4.37,f,184,1.36
4122,142610768,2017-07-26,a few days or more,0.38,0.0,f,1.0,t,f,el Fort Pienc,Eixample,Entire home/apt,2,1.0,2.0,1.0,40.0,30,1125,t,0,2017-10-02,4.0,f,1,0.04
4125,132596381,2017-05-30,within an hour,1.0,1.0,t,14.0,t,t,la Vila de Gracia,Gracia,Entire home/apt,9,4.0,5.0,7.0,869.0,1,1124,t,24,2017-09-25,4.92,t,3,1.37
4126,5414684,2013-03-11,within an hour,0.88,0.96,t,11.0,t,t,Sant Marti de Provencals,Sant Marti,Entire home/apt,6,2.0,3.0,5.0,174.0,5,1125,t,2,2017-08-08,4.72,f,6,1.77
4127,123459053,2017-03-30,within an hour,1.0,1.0,t,17.0,t,t,les Corts,Les Corts,Private room,2,3.0,1.0,1.0,32.0,32,1125,t,0,2018-06-03,4.75,f,4,0.12
4128,26059902,2015-01-13,within an hour,1.0,0.99,f,45.0,t,t,la Sagrera,Sant Andreu,Entire home/apt,3,1.0,2.0,2.0,60.0,32,1125,t,0,2019-05-17,5.0,f,20,0.02
4132,15082645,2014-05-04,within a few hours,0.56,0.67,f,5.0,t,t,la Sagrada Familia,Eixample,Private room,1,1.0,1.0,1.0,32.0,31,1125,t,24,2017-08-13,4.72,t,2,1.33
4133,5878688,2013-04-11,within an hour,1.0,1.0,f,100.0,t,t,el Poblenou,Sant Marti,Entire home/apt,5,2.0,2.0,3.0,350.0,14,30,t,17,2017-12-27,4.49,t,16,6.85
4140,140007238,2017-07-12,within an hour,1.0,1.0,f,5.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,5,3.0,2.0,2.0,235.0,3,1125,t,1,2017-07-25,4.63,f,5,0.74
4142,140007238,2017-07-12,within an hour,1.0,1.0,f,5.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,5,3.0,2.0,2.0,203.0,3,1125,t,4,2017-07-26,4.49,f,5,0.99
4143,10817933,2013-12-26,within an hour,0.9,0.91,f,3.0,t,t,el Poblenou,Sant Marti,Private room,3,1.0,2.0,2.0,40.0,31,1125,t,2,2017-09-20,4.82,f,1,0.67
4144,383697,2011-02-09,within an hour,1.0,0.98,f,19.0,t,t,el Poble Sec,Sants-Montjuic,Entire home/apt,3,1.0,2.0,3.0,145.0,1,365,t,0,2018-04-14,4.43,t,9,3.13
4145,2741966,2012-06-25,within a few hours,1.0,0.29,f,1.0,t,t,el Barri Gotic,Ciutat Vella,Private room,1,1.0,1.0,1.0,42.0,31,120,t,19,2017-08-09,4.78,f,1,0.91
4148,4933352,2013-02-01,within an hour,1.0,0.95,f,7.0,t,t,Sant Antoni,Eixample,Private room,1,1.0,1.0,1.0,32.0,32,1125,t,9,2017-08-12,4.74,t,2,1.15
4155,10704,2009-03-19,within an hour,0.84,0.95,f,64.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,2,1.0,1.0,1.0,95.0,32,1125,t,8,2023-05-14,2.0,f,34,0.26
4157,336524176,2020-02-16,within a day,0.7,0.46,f,55.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,2,1.0,1.0,1.0,95.0,32,1125,t,0,2019-05-08,5.0,f,34,0.02
4158,88106220,2016-08-05,within an hour,1.0,0.99,f,6.0,t,t,la Barceloneta,Ciutat Vella,Entire home/apt,3,1.0,1.0,1.0,160.0,3,1125,t,2,2017-09-29,4.36,t,3,2.02
4159,21793560,2014-09-26,within a few hours,1.0,0.97,t,7.0,t,t,Vilapicina i la Torre Llobeta,Nou Barris,Entire home/apt,16,8.0,8.0,15.0,1533.0,1,365,t,19,2014-08-15,4.9,t,6,0.18
4160,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,6,2.0,3.0,4.0,208.0,1,1125,t,6,2017-11-28,4.78,t,36,2.05
4162,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,8,2.0,4.0,6.0,229.0,1,1125,t,2,2017-11-12,4.69,t,36,3.2
4164,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,Hostafrancs,Sants-Montjuic,Entire home/apt,6,2.0,3.0,5.0,220.0,1,1125,t,3,2017-11-06,4.77,t,36,1.98
4166,336524176,2020-02-16,within a day,0.7,0.46,f,55.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,4,1.0,2.0,3.0,106.0,32,1125,t,0,2019-06-08,4.0,f,34,0.02
4168,4906099,2013-01-30,within an hour,1.0,1.0,f,33.0,t,t,la Vila de Gracia,Gracia,Entire home/apt,4,1.0,1.0,2.0,147.0,3,1125,t,4,2017-08-20,4.3,t,6,1.55
4169,1228590,2011-09-30,within an hour,1.0,0.99,t,16.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,6,4.0,3.0,3.0,788.0,2,1125,t,9,2017-08-15,4.97,t,6,2.02
4171,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,Hostafrancs,Sants-Montjuic,Entire home/apt,4,1.0,2.0,3.0,151.0,1,1125,t,3,2018-06-20,4.63,t,36,1.48
4176,43259405,2015-09-03,within an hour,0.97,0.98,f,10.0,t,t,el Poble Sec,Sants-Montjuic,Entire home/apt,2,1.0,1.0,1.0,139.0,1,1125,t,2,2018-02-04,4.38,f,4,2.78
4180,140007238,2017-07-12,within an hour,1.0,1.0,f,5.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,5,1.0,3.0,3.0,254.0,3,1125,t,4,2017-08-11,4.59,f,5,1.3
4182,146282111,2017-08-16,within a day,1.0,1.0,t,3.0,t,t,el Poble Sec,Sants-Montjuic,Private room,2,1.5,1.0,1.0,62.0,31,90,t,30,2017-09-07,4.89,f,3,0.26
4187,10693680,2013-12-18,within a day,0.9,0.57,f,94.0,t,t,el Fort Pienc,Eixample,Entire home/apt,8,1.5,3.0,6.0,104.0,3,1124,t,10,2017-10-08,3.78,f,37,0.13
4188,104916553,2016-11-23,within an hour,1.0,0.99,f,3.0,t,t,el Barri Gotic,Ciutat Vella,Private room,3,1.0,2.0,2.0,86.0,2,1124,t,0,2017-10-03,4.7,t,2,4.09
4190,5878688,2013-04-11,within an hour,1.0,1.0,f,100.0,t,t,el Parc i la Llacuna del Poblenou,Sant Marti,Entire home/apt,6,2.0,3.0,4.0,358.0,14,30,t,18,2017-12-10,4.51,t,16,7.93
4191,336524176,2020-02-16,within a day,0.7,0.46,f,55.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,4,1.0,2.0,2.0,110.0,32,1125,t,29,2023-05-05,5.0,f,34,0.24
4192,84025434,2016-07-16,within an hour,1.0,1.0,t,3.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Private room,2,1.0,1.0,1.0,85.0,1,40,t,1,2022-08-30,4.86,t,1,4.58
4193,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,el Fort Pienc,Eixample,Entire home/apt,4,0.0,3.0,6.0,102.0,2,45,t,10,2017-10-30,4.3,f,184,1.18
4198,4085156,2012-11-07,within an hour,0.97,1.0,f,23.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,8,2.0,3.0,6.0,248.0,3,1125,t,2,2019-06-03,4.67,t,20,0.35
4200,336524176,2020-02-16,within a day,0.7,0.46,f,55.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,6,2.0,3.0,4.0,150.0,32,1125,t,0,2019-05-10,5.0,f,34,0.02
4201,146347819,2017-08-16,within an hour,1.0,0.96,f,7.0,t,t,el Raval,Ciutat Vella,Private room,2,2.5,1.0,1.0,128.0,1,60,t,7,2017-09-10,4.73,f,5,1.34
4204,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,Sant Antoni,Eixample,Entire home/apt,3,0.0,2.0,5.0,113.0,2,45,t,7,2018-01-05,4.32,f,184,0.41
4205,144254973,2017-08-04,within an hour,1.0,0.99,f,2.0,t,t,el Parc i la Llacuna del Poblenou,Sant Marti,Private room,2,1.5,1.0,1.0,54.0,2,90,t,0,2017-08-25,4.64,f,2,1.61
4207,6482644,2013-05-20,within an hour,1.0,0.97,t,5.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,5,1.5,3.0,5.0,115.0,31,90,t,1,2018-05-19,5.0,f,3,0.17
4210,147152209,2017-08-22,within an hour,1.0,0.99,t,1.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,5,2.0,3.0,4.0,152.0,4,1125,t,5,2018-01-02,4.86,f,1,2.85
4211,141584000,2017-07-20,within a few hours,1.0,0.88,t,2.0,t,t,el Raval,Ciutat Vella,Entire home/apt,2,1.0,1.0,2.0,75.0,40,1125,t,0,2017-10-21,4.95,f,2,0.28
4212,104916553,2016-11-23,within an hour,1.0,0.99,f,3.0,t,t,el Raval,Ciutat Vella,Private room,2,1.0,1.0,1.0,86.0,2,1124,t,5,2017-10-05,4.67,t,2,4.66
4215,3775349,2012-10-06,within a day,0.58,0.88,f,86.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,4,1.0,2.0,4.0,171.0,32,365,t,0,2021-08-06,4.8,f,45,0.2
4217,3775349,2012-10-06,within a day,0.58,0.88,f,86.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,4,2.0,2.0,4.0,171.0,32,365,t,0,2019-07-31,5.0,f,45,0.02
4218,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,Sant Antoni,Eixample,Entire home/apt,4,0.0,3.0,6.0,141.0,3,45,t,8,2017-09-15,4.37,f,184,0.43
4221,146347819,2017-08-16,within an hour,1.0,0.96,f,7.0,t,t,el Raval,Ciutat Vella,Private room,2,2.5,1.0,1.0,113.0,1,90,t,3,2017-10-23,4.67,f,5,1.29
4222,146347819,2017-08-16,within an hour,1.0,0.96,f,7.0,t,t,el Raval,Ciutat Vella,Private room,2,2.5,1.0,1.0,110.0,1,31,t,9,2017-10-01,4.75,f,5,1.09
4225,85306726,2016-07-22,within a day,0.5,0.57,f,2.0,t,t,la Nova Esquerra de l'Eixample,Eixample,Private room,2,1.0,1.0,1.0,36.0,31,1125,t,7,2017-07-30,4.47,f,2,1.08
4227,143043596,2017-07-28,within a day,0.88,0.5,f,2.0,t,t,el Parc i la Llacuna del Poblenou,Sant Marti,Private room,2,1.5,2.0,2.0,51.0,5,1125,t,16,2017-09-18,4.44,f,2,0.26
4230,146347819,2017-08-16,within an hour,1.0,0.96,f,7.0,t,t,el Raval,Ciutat Vella,Private room,2,2.0,1.0,1.0,113.0,1,1125,t,9,2017-08-27,4.76,f,5,1.23
4234,6797428,2013-06-08,within an hour,1.0,0.98,t,17.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,3,1.0,3.0,3.0,75.0,31,183,t,2,2018-08-01,5.0,f,15,0.16
4236,141874605,2017-07-22,within an hour,1.0,1.0,t,2.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,4,1.0,2.0,3.0,200.0,3,365,t,2,2017-08-17,4.98,t,2,2.62
4238,54820821,2016-01-16,within an hour,0.98,0.99,f,28.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,5,1.0,2.0,2.0,147.0,1,1125,t,0,2017-08-14,4.52,t,22,1.76
4242,2273079,2012-05-02,within an hour,1.0,1.0,t,5.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,5,1.0,2.0,3.0,305.0,3,1125,t,6,2017-08-17,4.81,f,4,2.62
4243,9057850,2013-09-25,within a few hours,1.0,0.83,t,5.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Private room,1,1.0,1.0,1.0,30.0,31,90,t,0,2018-06-27,4.63,f,3,0.13
4244,142072166,2017-07-23,a few days or more,0.0,0.9111027461716145,f,3.0,t,t,el Guinardo,Horta-Guinardo,Entire home/apt,5,1.0,2.0,4.0,75.0,60,100,t,28,2017-09-24,4.46,f,1,1.09
4245,12178648,2014-02-12,within an hour,1.0,0.99,t,2.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,6,1.0,3.0,6.0,224.0,2,30,t,2,2017-08-23,4.82,f,1,2.03
4249,336524176,2020-02-16,within a day,0.7,0.46,f,55.0,t,t,la Nova Esquerra de l'Eixample,Eixample,Entire home/apt,2,1.0,2.0,2.0,100.0,32,180,t,0,2022-04-18,5.0,f,34,0.12
4251,36233647,2015-06-19,within a few hours,1.0,0.99,t,4.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,7,2.0,3.0,3.0,211.0,2,1125,t,3,2017-10-07,4.87,f,4,3.36
4256,142006629,2017-07-23,within an hour,0.9,1.0,t,2.0,t,t,la Dreta de l'Eixample,Eixample,Private room,1,1.0,1.0,1.0,38.0,3,8,t,2,2017-08-22,4.83,f,1,0.9
4258,37459199,2015-07-04,within an hour,0.9,0.9,f,10.0,t,t,la Dreta de l'Eixample,Eixample,Private room,1,1.0,1.0,1.0,15.0,30,365,t,0,2017-12-23,4.63,t,5,0.43
4260,146347819,2017-08-16,within an hour,1.0,0.96,f,7.0,t,t,el Raval,Ciutat Vella,Private room,2,2.5,1.0,1.0,96.0,1,1125,f,0,2017-09-06,4.64,f,5,1.11
4261,5264883,2013-02-28,within an hour,1.0,0.88,f,75.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,10,4.0,4.0,8.0,875.0,1,1125,t,7,2017-11-19,4.56,t,46,0.55
4263,66933654,2016-04-12,within an hour,0.77,0.99,f,7.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,4,1.0,2.0,3.0,195.0,2,31,t,10,2017-09-17,4.56,t,2,2.34
4266,140007238,2017-07-12,within an hour,1.0,1.0,f,5.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,5,3.5,2.0,2.0,223.0,3,1125,t,6,2017-08-17,4.66,f,5,1.37
4267,10704,2009-03-19,within an hour,0.84,0.95,f,64.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Hotel room,3,1.0,1.0,2.0,70.0,32,180,t,9,2018-06-30,4.57,f,34,0.13
4268,336524176,2020-02-16,within a day,0.7,0.46,f,55.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,2,1.0,2.0,2.0,60.0,32,180,t,7,2018-09-16,4.88,f,34,0.13
4269,3479346,2012-09-05,within an hour,1.0,0.87,f,17.0,t,t,el Raval,Ciutat Vella,Entire home/apt,4,2.0,3.0,3.0,159.0,90,365,t,3,2022-08-31,5.0,f,15,0.4
4271,138297757,2017-07-03,within an hour,1.0,0.75,t,2.0,t,t,el Parc i la Llacuna del Poblenou,Sant Marti,Private room,1,1.0,1.0,1.0,35.0,31,1125,t,0,2017-08-28,4.86,f,2,0.57
4272,105797912,2016-12-01,within a day,0.88,0.54,t,3.0,t,t,el Barri Gotic,Ciutat Vella,Private room,2,1.0,1.0,2.0,35.0,32,190,t,0,2018-02-06,4.5,f,2,0.12
4273,143569530,2017-07-31,within an hour,1.0,1.0,f,4.0,t,t,la Sagrada Familia,Eixample,Shared room,2,1.0,1.0,1.0,39.0,3,7,t,0,2018-05-09,4.62,t,1,0.32
4275,149974719,2017-09-10,within a few hours,1.0,1.0,f,1.0,t,t,el Baix Guinardo,Horta-Guinardo,Private room,1,1.5,1.0,1.0,30.0,31,31,t,3,2017-09-24,4.59,f,1,0.84
4279,12171941,2014-02-12,within a few hours,1.0,0.58,f,3.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,4,1.0,2.0,3.0,45.0,32,360,t,4,2018-03-31,4.29,f,1,0.11
4282,53619830,2016-01-06,within an hour,1.0,0.89,t,3.0,t,t,el Barri Gotic,Ciutat Vella,Entire home/apt,3,1.5,2.0,2.0,145.0,4,1125,t,2,2022-10-06,5.0,f,1,0.27
4283,147646238,2017-08-25,within an hour,0.97,0.81,f,9.0,t,t,la Sagrada Familia,Eixample,Entire home/apt,5,1.0,2.0,4.0,270.0,2,365,t,0,2017-09-16,4.88,t,9,3.75
4284,1597933,2012-01-12,within a few hours,1.0,0.78,t,2.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,4,1.0,2.0,2.0,100.0,31,700,t,11,2017-12-23,5.0,f,2,0.16
4287,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,Sant Antoni,Eixample,Entire home/apt,2,1.0,1.0,1.0,64.0,3,45,t,5,2017-10-01,4.12,f,184,1.05
4289,139063900,2017-07-07,within an hour,0.99,0.99,t,38.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,4,1.0,2.0,3.0,227.0,1,1125,t,6,2018-07-16,4.68,t,36,1.92
4291,54320669,2016-01-12,within an hour,1.0,1.0,f,23.0,t,t,Sant Gervasi - Galvany,Sarria-Sant Gervasi,Entire home/apt,4,2.0,2.0,3.0,165.0,2,1125,t,10,2017-08-31,4.54,t,16,1.73
4292,143495638,2017-07-31,within an hour,1.0,1.0,f,1.0,t,t,el Turo de la Peira,Nou Barris,Private room,1,1.0,2.0,2.0,38.0,2,1125,t,4,2020-09-22,4.71,t,1,0.19
4297,54680723,2016-01-14,within an hour,1.0,0.02,f,5.0,t,t,la Dreta de l'Eixample,Eixample,Private room,2,1.0,1.0,1.0,31.0,1,1125,t,6,2017-09-30,4.51,f,2,0.62
4299,9343537,2013-10-10,within a few hours,1.0,1.0,t,1.0,t,t,la Vila de Gracia,Gracia,Entire home/apt,5,1.5,2.0,3.0,130.0,3,150,t,1,2017-09-25,4.63,f,1,2.15
4302,86551441,2016-07-28,within a few hours,0.88,0.81,f,68.0,t,t,el Poble Sec,Sants-Montjuic,Entire home/apt,4,1.5,2.0,3.0,177.0,3,1125,t,3,2017-09-16,4.69,t,28,0.44
4303,103462966,2016-11-12,a few days or more,0.46,0.58,f,1.0,t,t,el Fort Pienc,Eixample,Private room,2,1.0,1.0,1.0,50.0,2,60,t,5,2017-09-05,4.31,f,1,2.53
4304,11138605,2014-01-09,within an hour,1.0,0.98,t,3.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,4,2.0,2.0,2.0,200.0,3,325,t,0,2017-09-09,4.85,f,3,4.62
4306,144219586,2017-08-04,within a few hours,1.0,0.74,f,2.0,t,t,el Poble Sec,Sants-Montjuic,Entire home/apt,6,2.0,3.0,3.0,120.0,6,7,t,5,2017-08-14,4.71,f,1,0.72
4307,143696785,2017-08-01,a few days or more,0.0,0.0,f,4.0,t,t,el Raval,Ciutat Vella,Entire home/apt,3,2.0,2.0,3.0,46.0,32,364,t,0,2019-10-17,5.0,f,4,0.02
4308,150549653,2017-09-14,within a few hours,1.0,0.8,f,4.0,t,f,la Bordeta,Sants-Montjuic,Entire home/apt,2,1.0,1.0,2.0,50.0,31,1125,t,0,2017-09-17,4.88,f,1,0.88
4309,32037490,2015-04-27,within an hour,0.99,1.0,f,242.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,8,2.0,3.0,3.0,229.0,2,1125,t,17,2017-10-08,4.42,t,221,1.47
4312,143696785,2017-08-01,a few days or more,0.0,0.0,f,4.0,t,t,el Raval,Ciutat Vella,Entire home/apt,2,1.0,1.0,2.0,40.0,32,364,t,0,2017-11-18,3.5,f,4,0.03
4317,148486702,2017-08-31,within an hour,1.0,1.0,f,1.0,t,t,la Dreta de l'Eixample,Eixample,Private room,1,1.0,1.0,1.0,26.0,32,1125,t,8,2017-09-01,4.78,f,1,0.33
4318,15082645,2014-05-04,within a few hours,0.56,0.67,f,5.0,t,t,la Sagrada Familia,Eixample,Private room,1,1.0,1.0,1.0,50.0,31,1125,t,29,2017-10-03,4.77,f,2,0.98
4323,44583806,2015-09-19,within a day,1.0,0.67,f,2.0,t,t,el Raval,Ciutat Vella,Private room,2,1.0,2.0,2.0,33.0,31,60,t,14,2017-10-28,4.68,f,2,2.45
4324,4459553,2012-12-21,within an hour,0.99,0.86,f,223.0,t,t,l'Antiga Esquerra de l'Eixample,Eixample,Entire home/apt,7,1.0,5.0,7.0,141.0,2,45,t,8,2017-10-22,4.47,f,184,1.55
4327,21001957,2014-09-06,within an hour,1.0,1.0,t,3.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Entire home/apt,2,1.0,1.0,1.0,119.0,32,1125,t,9,2023-04-12,5.0,t,3,0.2
4330,26781307,2015-01-27,within an hour,1.0,0.99,t,8.0,t,t,Sants,Sants-Montjuic,Entire home/apt,2,1.0,1.0,1.0,144.0,7,21,t,3,2017-11-25,5.0,f,8,0.3
4333,9456665,2013-10-16,within an hour,1.0,0.98,f,13.0,t,t,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,Private room,2,1.0,1.0,2.0,135.0,1,365,t,7,2021-08-02,4.8,t,7,2.51
4334,148901183,2017-09-03,within an hour,1.0,1.0,t,4.0,t,t,el Putxet i el Farro,Sarria-Sant Gervasi,Entire home/apt,4,1.0,2.0,4.0,99.0,5,1125,t,0,2017-09-18,4.79,t,4,1.68
4338,58958509,2016-02-16,within a few hours,0.9,0.83,f,2.0,t,t,el Coll,Gracia,Private room,1,2.0,1.0,1.0,25.0,31,62,t,4,2018-08-14,5.0,f,1,0.05
4342,13750173,2014-03-31,within an hour,1.0,0.96,f,1.0,t,t,les Corts,Les Corts,Private room,2,1.0,2.0,2.0,99.0,2,5,t,24,2017-09-24,4.86,f,1,0.39
4343,41691808,2015-08-17,within an hour,1.0,1.0,t,1.0,t,t,el Poble Sec,Sants-Montjuic,Entire home/apt,6,1.0,3.0,5.0,200.0,2,150,t,2,2017-11-27,4.86,f,1,4.64
4345,153399225,2017-10-05,within a few hours,1.0,0.78,t,2.0,t,t,el Camp d'en Grassot i Gracia Nova,Gracia,Private room,1,1.0,1.0,1.0,45.0,30,1125,t,0,2018-03-12,4.99,f,1,1.14
4346,143043596,2017-07-28,within a day,0.88,0.5,f,2.0,t,t,el Parc i la Llacuna del Poblenou,Sant Marti,Private room,2,1.5,2.0,2.0,37.0,4,108,t,12,2018-06-03,4.08,f,2,0.2
4347,9456665,2013-10-16,within an hour,1.0,0.98,f,13.0,t,t,la Dreta de l'Eixample,Eixample,Private room,3,1.0,2.0,3.0,171.0,1,365,t,3,2021-08-20,4.63,t,7,1.4
4350,148901183,2017-09-03,within an hour,1.0,1.0,t,4.0,t,t,el Putxet i el Farro,Sarria-Sant Gervasi,Entire home/apt,4,1.0,2.0,4.0,139.0,5,1125,t,6,2017-09-21,4.8,t,4,2.0
4352,21712148,2014-09-24,within an hour,1.0,0.97,f,2.0,t,t,el Raval,Ciutat Vella,Private room,1,1.0,1.0,1.0,54.0,1,27,t,1,2017-09-20,4.77,f,1,3.39
4353,6729065,2013-06-04,within an hour,1.0,1.0,t,4.0,t,t,la Dreta de l'Eixample,Eixample,Entire home/apt,2,1.5,1.0,1.0,150.0,3,60,t,3,2017-10-25,4.84,f,1,3.04
